ts	phase	decision	why	evidence	result
2026-09-11T15:23:33Z	frame	wrote workflow, census rubric, player list, and card validator	eval harness before any engine; shared premise is retrieve-equals-remember	WORKFLOW.md research/_contracts/CENSUS-RUBRIC.md research/_contracts/PLAYER-LIST.md research/_contracts/validate-cards.py	open
2026-09-11T15:32:21Z	census	slice A VERIFIED mem0 graphiti zep letta all PARTIAL	checked cards plus mem0 main.py ADDITIVE_EXTRACTION_PROMPT and changelog PR 4805 ADD-only	research/census/infra-big3.md research/census/cards/mem0.json mem0ai/mem0@c7ee362	VERIFIED
2026-09-11T15:33:12Z	census	slice F VERIFIED eight eval cards none FIT four companion holes uncovered	read existing-benchmarks.md and cards; confirmed Locomo-Plus PrefEval PersonaMem-v2 repos exist with matching star counts	research/evals/existing-benchmarks.md github.com/xjtuleeyf/Locomo-Plus github.com/amazon-science/PrefEval github.com/bowen-upenn/PersonaMem-v2	VERIFIED
2026-09-11T15:34:02Z	census	slice C VERIFIED honcho PARTIAL closest engine AGPL identity_split present	read companion-native.md and honcho.json; LICENSE is GNU AGPL v3	research/census/companion-native.md plastic-labs/honcho LICENSE	VERIFIED
2026-09-11T15:34:02Z	census	slice E VERIFIED no FIT hindsight memobase langmem PARTIAL mcp-memory substring search	read mcp-and-new-vendors.md; confirmed vectorize-io/hindsight 23449 stars campfirein/byterover-cli 4958; searchNodes exists in modelcontextprotocol/servers	research/census/mcp-and-new-vendors.md	VERIFIED
2026-09-11T15:34:36Z	census	slice D VERIFIED no typed relationship_state ST vectors MISFIT	read roleplay-clients.md; ST chat-vectorization.md disclaimer and query 2 insert 3 retain 5 score 25 percent match the card; SillyTavern 33251 Agnai 782 Risuai 1671	research/census/roleplay-clients.md docs.sillytavern.app/extensions/chat-vectorization.md	VERIFIED
2026-09-11T15:37:37Z	census	slice B VERIFIED LightRAG GraphRAG MISFIT OpenViking AGPL MemOS PARTIAL	read graphs-and-os.md; LightRAG 39577 stars; OpenViking LICENSE is GNU AGPL v3	research/census/graphs-and-os.md volcengine/OpenViking LICENSE HKUDS/LightRAG	VERIFIED
2026-09-11T15:37:37Z	census	gap map written. 45 cards 0 FIT. identity present only honcho. silence and poison present none	summarize-cards.py plus GAP-MAP.md	research/census/GAP-MAP.md research/_contracts/summarize-cards.py	VERIFIED
2026-09-11T15:50:00Z	paper-ingest	split the friend list into 17 core / 12 adjacent / 12 out-of-scope instead of stuffing every paper into the protocol	a title containing memory is not a companion engine. SciBORG, Visual-RAG, and robot 3DGS would dilute the census	research/papers/registry.json; research/_contracts/validate-papers.py	registry written. core cards still in flight
2026-09-11T15:53:00Z	paper-ingest	downloaded all 41 friend-list papers via arXiv MCP into local markdown	census cards need methods not abstracts. HTML extract first, SciBORG fell back to PDF	research/papers/arxiv -> ~/.arxiv-mcp-server/papers (41 md, 4.4MB)	VERIFIED 41/41 local extracts. semantic reindex needs arxiv-mcp-server[pro]
